date,code,metric,value,value_extracted,unit,definition,assumed,source,tier,status,source_url,fetched_at
2026-05-15,4073,ordinary_income_prev_year,-161,-161,JPY_million,FY2025Q3cum|単体|日本基準|経常利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,revenue,1493,1493,JPY_million,FY2026Q3cum|単体|日本基準|売上高,false,tanshin,primary,OK,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,revenue_fy_plan,2403,2403,JPY_million,FY2026Q4cum|単体|日本基準|売上高(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,revenue_prev_year,1279,1279,JPY_million,FY2025Q3cum|単体|日本基準|売上高,false,tanshin,primary,OK,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,total_assets,1870,1870,JPY_million,FY2026Q3cum|単体|日本基準|総資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,total_assets_prev_fy,2004,2004,JPY_million,FY2025Q4cum|単体|日本基準|総資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-08-14,4073,eps_fy_plan,26.64,26.64,JPY,FY2027Q4cum|単体|日本基準|1株当たり当期純利益(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,equity_ratio,17.8,17.8,pct,FY2026Q4cum|単体|日本基準|自己資本比率,false,tanshin,primary,EQUITY_CROSS_OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,equity_ratio_prev_fy,13.5,13.5,pct,FY2025Q4cum|単体|日本基準|自己資本比率,false,tanshin,primary,EQUITY_CROSS_OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,net_assets,354,354,JPY_million,FY2026Q4cum|単体|日本基準|純資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,net_assets_prev_fy,270,270,JPY_million,FY2025Q4cum|単体|日本基準|純資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,net_income,70,70,JPY_million,FY2026Q4cum|単体|日本基準|当期純利益,false,tanshin,primary,OK|YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,net_income_fy_plan,67,67,JPY_million,FY2027Q4cum|単体|日本基準|当期純利益(会社予想),false,tanshin,primary,OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,net_income_prev_year,-146,-146,JPY_million,FY2025Q4cum|単体|日本基準|当期純利益,false,tanshin,primary,YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,operating_income,69,69,JPY_million,FY2026Q4cum|単体|日本基準|営業利益,false,tanshin,primary,OK|YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,operating_income_fy_plan,109,109,JPY_million,FY2027Q4cum|単体|日本基準|営業利益(会社予想),false,tanshin,primary,OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,operating_income_prev_year,-80,-80,JPY_million,FY2025Q4cum|単体|日本基準|営業利益,false,tanshin,primary,YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,ordinary_income,33,33,JPY_million,FY2026Q4cum|単体|日本基準|経常利益,false,tanshin,primary,OK|YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,ordinary_income_fy_plan,69,69,JPY_million,FY2027Q4cum|単体|日本基準|経常利益(会社予想),false,tanshin,primary,OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,ordinary_income_prev_year,-115,-115,JPY_million,FY2025Q4cum|単体|日本基準|経常利益,false,tanshin,primary,YOY_CHECK_NA,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,revenue,2252,2252,JPY_million,FY2026Q4cum|単体|日本基準|売上高,false,tanshin,primary,OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,revenue_fy_plan,2751,2751,JPY_million,FY2027Q4cum|単体|日本基準|売上高(会社予想),false,tanshin,primary,OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,revenue_prev_year,1844,1844,JPY_million,FY2025Q4cum|単体|日本基準|売上高,false,tanshin,primary,OK,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,total_assets,1998,1998,JPY_million,FY2026Q4cum|単体|日本基準|総資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
2026-08-14,4073,total_assets_prev_fy,2004,2004,JPY_million,FY2025Q4cum|単体|日本基準|総資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.release.tdnet.info/inbs/140120260814520260.pdf,2026-08-16T11:20:21+09:00
